sample_id,prompt_id,model_variant,arrangement,order,scoring_mode,chosen_tokens,rejected_tokens,chosen_loss,rejected_loss,loss_difference,truncated
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,aligned,forward,full_sequence,84,49,1.995367407798767,2.3574435710906982,-0.36207616329193115,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,aligned,forward,isolated_branch,84,49,1.9990025758743286,2.6187314987182617,-0.6197289228439331,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,aligned,reverse,full_sequence,84,49,1.8463131189346313,2.624738931655884,-0.7784258127212524,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,aligned,reverse,isolated_branch,84,49,1.9990025758743286,2.6187314987182617,-0.6197289228439331,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,swapped,forward,full_sequence,84,49,1.8906956911087036,2.5973615646362305,-0.7066658735275269,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,swapped,forward,isolated_branch,84,49,2.0166072845458984,2.592578172683716,-0.5759708881378174,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,swapped,reverse,full_sequence,84,49,2.0151588916778564,2.397519588470459,-0.38236069679260254,False
flan_v2_converted-request-83-356,flan_v2_converted-request-83-356,base,swapped,reverse,isolated_branch,84,49,2.0166072845458984,2.592578172683716,-0.5759708881378174,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,base,aligned,forward,full_sequence,121,122,1.9822590351104736,1.892630934715271,0.08962810039520264,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,base,aligned,forward,isolated_branch,121,122,1.963789939880371,2.0013327598571777,-0.03754281997680664,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,base,aligned,reverse,full_sequence,121,122,1.8724499940872192,2.028872013092041,-0.15642201900482178,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,base,aligned,reverse,isolated_branch,121,122,1.963789939880371,2.0013327598571777,-0.03754281997680664,False
ultrafeedback_cleaned_olmo2_7b-request-36-395,ultrafeedback_cleaned_olmo2_7b-request-36-395,base,swapped,forward,full_sequence,121,122,1.8683068752288818,2.097123146057129,-0.22881627082824707,False
